Zone,Code zone,Kcal_vegetaux,Kcal_animaux,Population_milliers,SousAlimentation_millions,Disponibilite_calorique_totale_kcal,Population_totale,Taux_sousnutrition_pct,Part_animaux_pct,Part_vegetaux_pct
Jamaïque,109,2230.0,512.0,2784,0.3,2742.0,2784000,10.775862068965516,18.672501823486506,81.32749817651349
Jordanie,112,2747.0,352.0,7274,0.9,3099.0,7274000,12.372834753918063,11.358502742820264,88.64149725717974
Kenya,114,1929.0,276.0,44354,10.0,2205.0,44354000,22.545880867565497,12.51700680272109,87.48299319727892
Kirghizistan,113,2200.0,617.0,5548,0.4,2817.0,5548000,7.209805335255948,21.90273340433085,78.09726659566915
Lesotho,122,2364.0,164.0,2074,0.3,2528.0,2074000,14.464802314368368,6.487341772151899,93.5126582278481
Liban,121,2633.0,426.0,4822,0.5,3059.0,4822000,10.369141435089174,13.926119646943446,86.07388035305655
Libéria,123,2105.0,101.0,4294,1.6,2206.0,4294000,37.26129482999534,4.57842248413418,95.42157751586582
Madagascar,129,1907.0,149.0,22925,8.2,2056.0,22925000,35.76881134133042,7.247081712062258,92.75291828793775
Malaisie,131,2378.0,536.0,29717,1.0,2914.0,29717000,3.365077228522394,18.393960192175705,81.60603980782429
Malawi,130,2225.0,139.0,16363,3.2,2364.0,16363000,19.556316078958627,5.879864636209814,94.1201353637902
Mali,133,2520.0,367.0,15302,1.0,2887.0,15302000,6.535093451836362,12.712157949428473,87.28784205057153
Maroc,143,3071.0,331.0,33008,1.4,3402.0,33008000,4.241396025206011,9.729570840681951,90.27042915931804
Mauritanie,136,2384.0,491.0,3890,0.3,2875.0,3890000,7.712082262210797,17.078260869565216,82.92173913043477
Mexique,138,2441.0,627.0,122332,5.3,3068.0,122332000,4.332472288526305,20.4367666232073,79.5632333767927
Mongolie,141,1679.0,830.0,2839,0.5,2509.0,2839000,17.611835153222966,33.08090872857712,66.91909127142289
Mozambique,144,2179.0,103.0,25834,7.0,2282.0,25834000,27.096074940001547,4.513584574934268,95.48641542506573
Myanmar,28,2145.0,429.0,53259,6.6,2574.0,53259000,12.392271728721903,16.666666666666664,83.33333333333334
Namibie,147,1877.0,289.0,2303,0.7,2166.0,2303000,30.3951367781155,13.342566943674978,86.65743305632503
Nicaragua,157,2313.0,325.0,6080,1.1,2638.0,6080000,18.09210526315789,12.319939347990902,87.68006065200909
Niger,158,2344.0,205.0,17831,1.9,2549.0,17831000,10.655599798104424,8.042369556688897,91.9576304433111
Nigéria,159,2596.0,104.0,173615,13.4,2700.0,173615000,7.7182271117126975,3.851851851851852,96.14814814814815
Népal,149,2465.0,207.0,27797,2.5,2672.0,27797000,8.993776306795699,7.747005988023951,92.25299401197606
Oman,221,2497.0,643.0,3632,0.2,3140.0,3632000,5.506607929515418,20.477707006369428,79.52229299363057
Ouganda,226,1943.0,183.0,37579,12.6,2126.0,37579000,33.529364804811195,8.607714016933206,91.39228598306678
Ouzbékistan,235,2251.0,508.0,28934,2.1,2759.0,28934000,7.25789728347273,18.41246828561073,81.58753171438927
Pakistan,165,1907.0,531.0,182143,38.1,2438.0,182143000,20.917630652838703,21.78014766201805,78.21985233798195
Panama,166,2147.0,584.0,3864,0.4,2731.0,3864000,10.351966873706004,21.384108385206886,78.61589161479313
Paraguay,169,2032.0,552.0,6802,0.8,2584.0,6802000,11.761246692149369,21.36222910216718,78.63777089783281
Philippines,171,2180.0,388.0,98394,14.0,2568.0,98394000,14.228509868487915,15.109034267912772,84.89096573208724
Pérou,170,2389.0,308.0,30376,2.8,2697.0,30376000,9.217803529101923,11.420096403411199,88.5799035965888
Rwanda,184,2161.0,63.0,11777,3.6,2224.0,11777000,30.56805638108177,2.83273381294964,97.16726618705036
République centrafricaine,37,1673.0,206.0,4616,2.0,1879.0,4616000,43.32755632582322,10.96327833954231,89.03672166045769
